,Quarter,Region,State,Purpose,Trips
380,2016-03-21,150679,691001,8316128.78839993,120634.9749
381,2016-03-22,89771,691001,10396538.7503999,69013.3676
382,2016-03-23,181024,691001,10000278.34,66535.4686
383,2016-03-24,27506,691001,8123727.3788999,68806.5446
384,2016-03-25,187811,691001,17611991.5985999,377710.3802
385,2016-03-26,161057,603160,6478243.66999998,55157.085
386,2016-03-28,136635,691001,8306953.22299999,196408.5305
387,2016-03-29,87692,691001,11060232.0877999,99137.2008
388,2016-03-30,199371,691001,11098805.8790999,158165.9276
389,2016-03-31,15787,691001,15551635.9069999,611552.636899998
390,2016-04-01,200824,691001,10547447.7453,92765.3924
391,2016-04-02,184117,114007,7184836.08,51631.9506
392,2016-04-04,145651,691001,4794489.6076,34596.1717
393,2016-04-05,125158,691001,8378039.46650004,88109.122
394,2016-04-06,110642,691001,11104723.1590001,79155.8563
395,2016-04-07,145668,691001,11666574.0775,80328.398
396,2016-04-08,241773,691001,13484134.9142,295044.3739
397,2016-04-09,190231,119441,6888246.85000002,47900.1099
398,2016-04-11,116033,691001,4685285.77489999,60177.3289
399,2016-04-12,217617,691001,2932282.1818,26042.6968
400,2016-04-18,147310,691001,9596745.86440006,83491.399
401,2016-04-19,115333,691001,10275366.3010001,62753.9200000001
402,2016-04-20,121075,691001,15173032.1132999,305580.2285
403,2016-04-21,148713,691001,21146861.9576,466091.4013
404,2016-04-22,150624,691001,11587284.6621001,101137.5567
405,2016-04-23,90586,511061,10627265.27,138076.9294
406,2016-04-25,159559,691001,11385347.2656,95308.6420000001
407,2016-04-26,157661,691001,13021868.3352,151538.809
408,2016-04-27,FS001408,691001,11569038.7041,148625.6634
409,2016-04-28,198343,691001,13024049.3026,232102.407
410,2016-04-29,150099,691001,25885666.6949998,608002.591399999
411,2016-04-30,250652,691001,10059212.7476,100422.9853
412,2016-05-03,137984,691001,8958176.48020002,59068.669
413,2016-05-04,205966,691001,9154884.45539989,62720.9975
414,2016-05-06,123321,691001,11530375.5512998,140621.6449
415,2016-05-07,206307,501119,15470627.15,101621
416,2016-05-09,168421,691001,11558178.6164,136746.373
417,2016-05-10,221881,691001,12282578.99,81397.2749000001
418,2016-05-11,197124,691001,16405490.4473999,181347.6512
419,2016-05-12,198244,691001,13141605.3718,155904.2479
420,2016-05-13,161446,691001,11505671.313,92649.7445
421,2016-05-14,250775,691001,8514061.75240008,59130.6878
422,2016-05-16,30476,691001,7881126.3072,70390.3211
423,2016-05-17,148737,691001,12014726.9533,163533.6693
424,2016-05-18,183660,691001,12288897.4567,113122.2562
425,2016-05-19,151393,691001,19978021.5863001,141396.7856
426,2016-05-20,123994,105022,938105.849999997,7124
427,2016-05-21,119676,520319,17181166.7500001,107574.0416
428,2016-05-23,135669,691001,11203489.159,88557.2287
429,2016-05-24,157708,691001,14330694.7232,121394.5589
430,2016-05-25,148683,691001,12774795.3952,139801.4209
431,2016-05-26,192730,691001,18700516.2885,801368.2111
432,2016-05-27,219116,691001,20728081.7389999,307617.7462
433,2016-05-28,227883,115016,7763419.46999998,103008.4129
434,2016-05-30,110161,691001,11760708.0648,86765.0008
435,2016-05-31,116699,691001,20312239.4566,544696.376499999
436,2016-06-01,236458,691001,11106081.9441998,95901.9041
437,2016-06-02,30728,691001,13331167.5199999,92065.2015
438,2016-06-03,111397,691001,7381212.53959998,69101.3606
439,2016-06-04,158293,307125,5448010.61000001,62680.9235
440,2016-06-06,101824,691001,6803799.18780001,56465.1759
441,2016-06-07,133245,691001,8382088.38890007,68920.6736
442,2016-06-08,92108,691001,10227188.7346,78083.5682
443,2016-06-09,35792,691001,10136930.3846999,124567.3304
444,2016-06-10,126810,691001,9077352.0668,70982.6677
445,2016-06-11,147587,505038,11484752.31,95686.9068
446,2016-06-13,160708,691007,10142471.775,89101.2089
447,2016-06-14,115319,691001,13113834.149,285996.8676
448,2016-06-15,230821,691001,16102542.7686001,271166.2416
449,2016-06-16,FS001408,691001,14313396.2182,330281.9526
450,2016-06-17,213374,691001,12529403.0094001,104991.7469
451,2016-06-18,99176,519683,8563197.20000005,90855.6147000001
452,2016-06-20,146177,691001,7934164.99099999,148466.3695
453,2016-06-21,FS002559,691001,11144045.6198001,161119.5426
454,2016-06-22,143305,691001,10575400.6813,98124.9669
455,2016-06-23,116996,691001,16808184.5717001,144037.901
456,2016-06-24,2497,691001,15724543.2530001,295855.5219
457,2016-06-25,106904,115016,15837308.9200001,173448.9508
458,2016-06-27,145651,691001,19709346.5577001,259361.3209
459,2016-06-28,123321,691001,13409295.3175,135146.649
460,2016-06-29,FS001781,691001,14550063.6610997,268162.8927
461,2016-06-30,232443,691001,24261736.7122002,867403.5258
462,2016-07-01,134952,691001,9244910.58019993,110564.3343
463,2016-07-02,FL000077,691007,7053725.87509998,53891.7834
464,2016-07-04,110154,691001,5119719.66839997,30641.1165
465,2016-07-05,217099,691001,5366336.21480004,59753.6022
466,2016-07-06,144708,691001,3971795.7161,38798.2734
467,2016-07-07,120177,691001,8771361.51509996,79527.9151
468,2016-07-08,115364,691001,6925353.7177,64440.2424
469,2016-07-09,FL000577,691007,6712786.05770001,61584.4964000001
470,2016-07-11,104382,691001,18263121.4690999,709940.2387
471,2016-07-12,160913,691001,15381581.0665001,476520.9965
472,2016-07-13,228460,691001,10284455.2067,93320.1267
473,2016-07-14,146641,691001,7817426.99539999,104891.2625
474,2016-07-15,129101,691001,9585062.07549989,56325.1396
475,2016-07-16,FL000203,691007,5736918.57020001,76872.1003999999
476,2016-07-18,197049,691001,6250632.84039994,73490.3961000001
477,2016-07-20,210526,691001,10976033.5925,135734.9879
478,2016-07-21,EX000017,691007,8712600.74399996,97381.5291
479,2016-07-22,50856,691001,7743092.2346,184111.322
480,2016-07-23,FL000638,691007,6351978.5777,85385.911
481,2016-07-25,FS001774,691001,7979466.42450003,93294.6603
482,2016-07-26,158927,691001,17203842.6459002,178463.7319
483,2016-07-27,FS000289,691001,8287148.24389999,68420.5359
484,2016-07-28,217594,691001,8551546.19499988,282113.1724
485,2016-07-29,105068,691001,28538743.4176003,774026.8258
486,2016-07-30,116859,210068,7517156.74999995,60766.4
487,2016-08-01,104207,691001,7305758.64720001,63944.519
488,2016-08-02,212605,691001,6386733.12430005,46268.3566000001
489,2016-08-03,145668,691001,8988671.56849997,193443.3785
490,2016-08-04,139162,691001,9974876.51300003,84227.5265
491,2016-08-05,30599,691001,7695076.48139998,54336.9075
492,2016-08-06,40062,516179,6686903.96999999,151492.8298
493,2016-08-08,133504,691001,6323849.76669998,127719.1578
494,2016-08-09,105051,691001,14084766.158,240784.5067
495,2016-08-10,226831,691001,7714665.5786,80297.2565
496,2016-08-11,119201,691001,14179353.6319001,125046.9243
497,2016-08-15,249366,691001,8165437.52879998,178176.1851
498,2016-08-16,197124,691001,11560272.9584,131765.9221
499,2016-08-17,FS001774,691001,11291905.9923,108881.0776
500,2016-08-18,146801,691001,12453832.1111,268027.6346
501,2016-08-19,142353,691001,9556901.80629996,133838.1094
502,2016-08-20,206314,523042,10852586.65,160690.3665
503,2016-08-22,219239,691001,7683288.32049996,139637.2528
504,2016-08-23,226817,691001,10077549.4991,144798.2583
505,2016-08-24,93143,691001,9377935.60110001,88007.9806
506,2016-08-25,219505,691001,12947518.6243,113549.8973
507,2016-08-26,134082,691001,21254222.2173,1361254.0237
508,2016-08-27,65997,519432,13855631.47,134256
509,2016-08-29,FS002092,691001,13127085.0189,326669.2434
510,2016-08-30,251871,691001,10545491.4994999,104856.4094
511,2016-08-31,104399,691001,18388335.9818,646824.6427
512,2016-09-01,187736,691001,9166138.83489985,69073.4822000001
513,2016-09-02,105358,691001,11552324.8399998,174460.2879
514,2016-09-03,206307,525001,3926843.35999996,34006
515,2016-09-05,248376,691001,8955601.45589995,112199.962
516,2016-09-06,198473,691007,6850635.06080002,112145.7747
517,2016-09-07,FS001774,691001,10769066.0333,89029.6232
518,2016-09-08,150594,691001,8828430.64590001,101962.8297
519,2016-09-09,139162,691001,17051004.7732999,321427.3277
520,2016-09-10,206307,525001,9960350.36000001,114713.2332
521,2016-09-12,151171,691001,13819762.7283001,378311.8133
522,2016-09-13,240592,691001,16098876.7381,366489.5623
523,2016-09-14,93891,691001,12312490.5698999,135217.9418
524,2016-09-15,218102,691001,9532826.50180006,117185.4052
525,2016-09-16,212155,691001,12197986.4049999,224982.2376
526,2016-09-17,119171,201037,8951142.44000001,79809.1709
527,2016-09-19,143459,691001,13359771.3633,123733.7045
528,2016-09-20,98179,691001,9802816.44050006,78330.1153
529,2016-09-21,FS000821,691001,13560195.9575,186396.8695
530,2016-09-22,131814,691001,12469891.7793996,124027.9059
531,2016-09-23,173531,691001,8337052.92459996,115528.4957
532,2016-09-24,251475,220414,13096287.7399999,272730
533,2016-09-26,123321,691001,9860263.95170004,88960.1609
534,2016-09-27,145651,691001,12686952.3849001,173932.9036
535,2016-09-28,150167,691001,14206597.0525,237379.1609
536,2016-09-29,122164,691001,12474458.6522,140646.6983
537,2016-09-30,221843,691001,21540767.9042,418013.5597
538,2016-10-01,192044,216352,9173821.90000001,89793.5073
539,2016-10-03,181024,691001,10743179.0733,140956.2071
540,2016-10-04,80549,691001,7222658.96679999,96207.8951
541,2016-10-05,130022,691001,7601165.61499995,98958.1664
542,2016-10-06,198480,691001,9742584.34729999,380803.8013
543,2016-10-07,131180,691001,10560927.5107,243744.5867
544,2016-10-08,FL000196,691007,6894123.20449995,98220.2691
545,2016-10-10,248376,691001,8151786.47509997,127875.2546
546,2016-10-12,138035,691001,13135846.3703,142525.9053
547,2016-10-13,187194,691001,13134996.1776,110850.9024
548,2016-10-14,195212,691001,11750996.4441999,117100.2111
549,2016-10-15,FL000616,691007,6845649.05469999,58419.5067
550,2016-10-17,FS001774,691001,11802638.0297,385535.0067
551,2016-10-18,145811,691001,9323504.00950002,68935.7895
552,2016-10-19,14827,691001,11888190.3286999,76958.7002
553,2016-10-20,145668,691001,12144663.9836001,99798.4712000002
554,2016-10-21,172510,691001,10544042.2224,134204.5298
555,2016-10-22,119614,516248,8819660.49999997,67298.0208
556,2016-10-23,FL001227,691007,552.8037,1
557,2016-10-24,125059,210061,4264928.48,28318.8642
558,2016-10-25,195533,691001,11290867.1041,139229.0947
559,2016-10-26,112738,691001,15990706.8577999,395896.1118
560,2016-10-27,151171,691001,14000455.6397001,152778.0601
561,2016-10-28,137175,691001,16392838.2648,298651.1439
562,2016-10-29,FL000812,691007,17327738.3313999,71634.16
563,2016-10-30,FL000953,691007,3601.2149,1
564,2016-10-31,148690,691001,19640621.3358001,348483.3319
565,2016-11-01,233693,691001,6789553.64480002,48228.8592
566,2016-11-02,183158,691001,11722297.6845,126440.4704
567,2016-11-03,190798,691001,8043260.63640001,78876.6881000001
568,2016-11-04,139179,691001,13462323.1016,220954.9188
569,2016-11-05,FL000953,691007,12735401.4908,66640.3852
570,2016-11-06,FL000698,691007,558.8786,2
571,2016-11-07,119225,691001,10826880.889,122461.1894
572,2016-11-08,FI580179,703002,11930578.7099999,255242.9787
573,2016-11-09,226473,691001,12456056.5836,91806.4508
574,2016-11-10,211035,691001,13317448.2618999,168042.6978
575,2016-11-11,139827,691001,15294062.3731001,120747.9173
576,2016-11-12,FL001107,691007,10013368.0112001,129505.0357
577,2016-11-13,FL001187,691007,23529.2991,8
578,2016-11-14,153700,691001,10063899.5193,98060.9826
579,2016-11-15,90494,691001,9130841.55290001,102282.3143
580,2016-11-16,50900,691001,10573291.9042,207273.1109
581,2016-11-17,161958,691001,13341315.6967001,135381.8922
582,2016-11-18,249700,691001,10892896.8905,175438.582
583,2016-11-19,LS900007,913001,8632961.35999999,69461.417
584,2016-11-20,FL000924,691007,806.8224,1
585,2016-11-21,150587,691001,11365919.5384999,143011.4698
586,2016-11-22,50870,691001,10761417.6145,93283.8868
587,2016-11-23,155056,691001,9827480.2978,99511.2266
588,2016-11-24,249359,691001,9602678.79079998,81272.9401
589,2016-11-25,167110,691001,9459457.25929997,93043.9182
590,2016-11-26,FL001123,691007,10782553.2363,158140
591,2016-11-28,118938,691001,12108237.026,167436.8439
592,2016-11-29,134952,691001,12662732.402,300964.0213
593,2016-11-30,249663,691001,17558266.9662,340642.1929
594,2016-12-01,171384,691001,10843448.0301,61121.9492000001
595,2016-12-02,183301,691001,10923065.5141,131586.0554
596,2016-12-03,FL000273,691007,6614651.04489996,67545
597,2016-12-04,FL001229,691007,11228.598,4
598,2016-12-05,FL000695,691007,317.2897,1
599,2016-12-06,115364,691001,14043373.6204,127652.3211
600,2016-12-07,112042,691001,11059282.2515,104764.8606
601,2016-12-08,249380,691001,13733335.4181,105760.4699
602,2016-12-09,150037,691001,17544077.1784001,276424.104
603,2016-12-10,FI596804,691007,6470110.97949996,47775.1667
604,2016-12-11,DP1,691007,20932.7104,4
605,2016-12-12,250904,691001,9205506.28829995,123890.3628
606,2016-12-13,43308,691001,9559135.35049996,135599.1511
607,2016-12-14,138851,691001,14560437.0947999,221450.6017
608,2016-12-15,208851,691001,15860543.0984998,198917.3607
609,2016-12-16,123321,691001,13274138.7262999,412693.8451
610,2016-12-17,FI596804,691007,14619325.1020999,93304.5352
611,2016-12-18,FL001193,691007,20173.0373,12
612,2016-12-19,89658,691001,15479395.1464001,171257.5226
613,2016-12-20,FI596804,691007,12733833.917,167242.8383
614,2016-12-21,221102,691001,12368515.9865,92255.5415
615,2016-12-22,143305,691001,17310633.2592996,277807.1548
616,2016-12-23,203788,691001,18119022.0419999,324052.792
617,2016-12-24,FL000510,691007,11430597.8080999,166034.5816
618,2016-12-25,FL000925,691007,806.8224,1
619,2016-12-26,FI596804,691001,17201206.9284,198541.8085
620,2016-12-27,FI596804,691001,20078516.4877999,400549.9109
621,2016-12-28,190354,691001,14508751.1675001,108089.5714
622,2016-12-29,169664,691001,25115108.2132999,226744.0744
623,2016-12-30,35815,691001,13650737.1726999,775541.3203
624,2016-12-31,FL001096,691007,1728.972,1
625,2017-01-02,FL001283,612030,28032.7203,9
626,2017-01-03,FL001595,612030,21043.7382,13
627,2017-01-04,209940,691001,3917867.5269,333554
628,2017-01-05,139162,691001,6449463.56260007,506291
629,2017-01-06,208851,691001,7549893.70180002,467088
630,2017-01-07,FL001018,691007,50239.0752,3159
631,2017-01-08,FL001399,612030,4635.5141,2
632,2017-01-09,104825,691001,8996921.44119999,834419
633,2017-01-10,227883,691001,6115284.51929999,298445
634,2017-01-11,221904,691001,9208018.99309993,885897
635,2017-01-12,2879,691001,10598949.8415999,694480
636,2017-01-13,102401,691001,7567117.55929997,540960
637,2017-01-14,FL001283,612030,7139167.5964,402040
638,2017-01-16,143497,691001,8844284.59130002,742430
639,2017-01-17,167905,691001,10490711.1372,525546
640,2017-01-18,152406,691001,8980064.69180002,764310
641,2017-01-19,148690,691001,9288385.4269,622515
642,2017-01-20,FL001281,691007,11670281.3465999,901655
643,2017-01-21,159580,619332,7865457.62999989,476340
644,2017-01-22,FL001223,612030,2619.9065,2
645,2017-01-23,19709,691001,7283285.74139995,495734
646,2017-01-24,18511,691001,8422190.94719995,468878
647,2017-01-25,177324,691001,10106784.7003999,740112
648,2017-01-26,155070,691001,10984326.4648,964024
649,2017-01-27,210052,691001,19212502.2086,1173009
650,2017-01-28,FL001282,691007,10243006.339,675005
