"Cg","Datetime","Customer","Sku","Channel","qty","Amt"
"010012","2020-09-07","115016","027018","200","336","18681.6"
"010012","2020-09-09","612030","027018","200","12","559.85"
"010012","2020-09-09","619433","027018","200","2","110.28"
"010012","2020-09-11","619433","027018","200","12","582.28"
"010012","2020-09-14","619433","027018","200","6","352.52"
"010012","2020-09-16","603165","027018","200","24","1199.28"
"010012","2020-09-26","115016","027018","200","336","18681.6"
"010012","2020-10-02","619433","027018","200","1","57.5"
"010012","2020-10-03","619433","027018","200","2","125.6"
"010012","2020-10-05","612030","027018","200","1","79.44"
"010012","2020-10-08","603165","027018","200","48","2398.56"
"010012","2020-10-08","619433","027018","200","1","57.3"
"010012","2020-10-09","619433","027018","200","1","71.03"
"010012","2020-10-10","612030","027018","200","11","493"
"010012","2020-10-12","619433","027018","200","2","110.28"
"010012","2020-10-13","612030","027018","200","24","1435.51"
"010012","2020-10-13","619433","027018","200","1","56.08"
"010012","2020-10-19","612030","027018","200","12","897.2"
"010012","2020-10-21","612030","027018","200","12","825.23"
"010012","2020-10-22","612030","027018","200","12","742.71"
"010012","2020-10-26","612030","027018","200","12","897.2"
"010012","2020-10-28","603165","027018","200","24","1199.28"
"010012","2020-10-28","612030","027018","200","24","1704.68"
"010012","2020-10-31","115016","027018","200","288","16012.8"
"010012","2020-11-10","612030","027018","200","12","897.2"
"010012","2020-11-11","612030","027018","200","12","897.2"
"010012","2020-11-12","115016","027018","200","336","18681.6"
"010012","2020-11-12","612030","027018","200","6","398.13"
"010012","2020-11-13","603165","027018","200","24","1199.28"
"010012","2020-11-13","612030","027018","200","13","766.36"
"010012","2020-11-13","619433","027018","200","36","2234.58"
"010012","2020-11-14","612030","027018","200","10","663.55"
"010012","2020-11-14","619433","027018","200","4","234.57999999999998"
"010012","2020-11-17","612030","027018","200","24","1794.39"
"010012","2020-11-23","619433","027018","200","1","79.44"
"010012","2020-11-24","603165","027018","200","24","1199.28"
"010012","2020-11-26","612026","027018","200","480","23985.6"
"010012","2020-12-01","612030","027018","200","12","743.93"
"010012","2020-12-03","115016","027018","200","144","8006.4"
"010012","2020-12-03","619433","027018","200","5","397.2"
"010012","2020-12-11","115016","027018","200","168","9340.8"
"010012","2020-12-13","612030","027018","200","12","743.93"
"010012","2020-12-15","612030","027018","200","3","199.07"
"010012","2020-12-15","619433","027018","200","48","3030.84"
"010012","2020-12-25","612030","027018","200","12","897.2"
"010012","2020-12-26","115016","027018","200","312","17347.2"
"010012","2021-01-06","619433","027018","200","1","79.44"
"010012","2021-01-07","612030","027018","200","3","214.48"
"010012","2021-01-08","603165","027018","200","48","2491.2"
"010012","2021-01-09","115016","027018","200","312","17347.2"
"010012","2021-01-09","619433","027018","200","1","65"
"010012","2021-01-12","619433","027018","200","1","79.44"
"010012","2021-01-13","603165","027018","200","24","1245.6"
"010012","2021-01-13","612030","027018","200","24","1659.8200000000002"
"010012","2021-01-14","619433","027018","200","2","145.79"
"010012","2021-01-16","612030","027018","200","12","762.62"
"010012","2021-01-21","612030","027018","200","18","1194.4"
"010012","2021-01-26","612030","027018","200","12","767.1"
"010012","2021-01-26","619433","027018","200","1","43.33"
"010012","2021-01-28","115016","027018","200","432","24019.2"
"010012","2021-01-28","619433","027018","200","10","700.93"
"010012","2021-02-02","612030","027018","200","12","788.79"
"010012","2021-02-03","612030","027018","200","12","670.47"
"010012","2021-02-03","619433","027018","200","3","170.43"
"010012","2021-02-04","612030","027018","200","12","762.62"
"010012","2021-02-05","612030","027018","200","1","79.44"
"010012","2021-02-06","619313","027018","200","24","1334.4"
"010012","2021-02-08","612030","027018","200","24","1525.24"
"010012","2021-02-10","612026","027018","200","120","5996.4"
"010012","2021-02-11","603165","027018","200","24","1245.6"
"010012","2021-02-11","619433","027018","200","3","214.49"
"010012","2021-02-15","612030","027018","200","12","717.76"
"010012","2021-02-15","619433","027018","200","2","120.07"
"010012","2021-02-16","115016","027018","200","144","8006.4"
"010012","2021-02-17","619433","027018","200","12","762.62"
"010012","2021-02-23","612026","027018","200","240","11992.8"
"010012","2021-02-23","612030","027018","200","24","1534.21"
"010012","2021-02-25","612030","027018","200","12","767.1"
"010012","2021-02-27","612030","027018","200","12","852.34"
"010012","2021-03-01","115016","027018","200","264","14678.4"
"010012","2021-03-03","612030","027018","200","12","541.17"
"010012","2021-03-03","619433","027018","200","2","118.41999999999999"
"010012","2021-03-04","612030","027018","200","12","743.93"
"010012","2021-03-05","619433","027018","200","5","228.09"
"010012","2021-03-06","612030","027018","200","1","79.44"
"010012","2021-03-06","619433","027018","200","3","133.44"
"010012","2021-03-11","619433","027018","200","2","128.97"
"010012","2021-03-13","612030","027018","200","12","744.67"
"010012","2021-03-15","612030","027018","200","12","852.34"
"010012","2021-03-16","612030","027018","200","1","66.15"
"010012","2021-03-16","619433","027018","200","12","594.86"
"010012","2021-03-18","115016","027018","200","408","22684.8"
"010012","2021-03-20","619433","027018","200","1","64.31"
"010012","2021-03-31","612030","027018","200","24","1277.01"
"010012","2021-04-02","619433","027018","200","1","64.01"
"010012","2021-04-04","612030","027018","200","2","112.41"
"010012","2021-04-04","619433","027018","200","2","138.32"
"010012","2021-04-05","612026","027018","200","360","17989.2"
"010012","2021-04-06","115016","027018","200","384","21350.4"
"010012","2021-04-06","619433","027018","200","2","129.6"
"010012","2021-04-10","612030","027018","200","12","851.4"
"010012","2021-04-17","619433","027018","200","1","66.63"
"010012","2021-04-24","619433","027018","200","18","1138.32"
"010012","2021-04-26","612026","027018","200","360","17989.2"
"010012","2021-05-05","619433","027018","200","6","318.35"
"010012","2021-05-06","612030","027018","200","36","2280.42"
"010012","2021-05-07","612030","027018","200","4","177.22"
"010012","2021-05-08","612030","027018","200","2","100.94"
"010012","2021-05-09","612030","027018","200","3","147.66000000000003"
"010012","2021-05-15","612030","027018","200","24","1363.74"
"010012","2021-05-18","115016","027018","200","264","14678.4"
"010012","2021-05-19","612030","027018","200","3","190.55"
"010012","2021-05-28","619433","027018","200","1","71.42"
"010012","2021-05-29","115016","027018","200","384","21350.4"
"010012","2021-05-31","612030","027018","200","13","959.48"
"010012","2021-06-02","619433","027018","200","8","508.41"
"010012","2021-06-04","619433","027018","200","1","79.44"
"010012","2021-06-06","612030","027018","200","15","967.29"
"010012","2021-06-07","612030","027018","200","24","1340.94"
"010012","2021-06-07","619433","027018","200","3","196.95"
"010012","2021-06-08","619433","027018","200","1","62.13"
"010012","2021-06-09","603165","027018","200","24","1245.6"
"010012","2021-06-09","612030","027018","200","12","631.04"
"010012","2021-06-09","619433","027018","200","1","66.36"
"010012","2021-06-10","619433","027018","200","1","66.36"
"010012","2021-06-11","619433","027018","200","1","66.98"
