,"Quarter","Region","State","Trips","Purpose"
1330,"2019-06-07","111397","691007","13126","825356.9699999999"
1331,"2019-06-08","018511","612030","11152","673626.6600000004"
1332,"2019-06-10","013875","612030","62155","3015511.7299999995"
1333,"2019-06-11","167851","691001","18257","877474.9513000005"
1334,"2019-06-12","150105","691001","16644","937413.8964000002"
1335,"2019-06-13","018511","612030","21865","1207055.32"
1336,"2019-06-14","086510","691001","12254","755004.2661999997"
1337,"2019-06-15","118402","115002","6638","299281.41"
1338,"2019-06-17","101916","691001","23888","1366391.3783000007"
1339,"2019-06-18","122072","691001","7336","493462.1456000005"
1340,"2019-06-19","276782","612030","9822","651030.9600000011"
1341,"2019-06-20","018511","691001","18329","1033940.4446000021"
1342,"2019-06-21","027018","612030","31976","1774415.680000002"
1343,"2019-06-22","194390","612030","22051","1203778.6100000006"
1344,"2019-06-24","013622","612030","12992","856656.6000000018"
1345,"2019-06-25","150112","691001","18402","1285869.2200999993"
1346,"2019-06-26","224011","691007","16722","693439.8000000003"
1347,"2019-06-27","224011","691007","14532","886179.3600000001"
1348,"2019-06-28","151386","691001","18973","1259078.4072999998"
1349,"2019-06-29","224011","691007","8540","639227.6500000004"
1350,"2019-07-01","167851","619433","4203","234414.5900000001"
1351,"2019-07-02","018511","116101","24497","1290508.6700000002"
1352,"2019-07-03","018511","612030","19073","1386097.4800000004"
1353,"2019-07-04","013622","612030","13181","1022297.6999999997"
1354,"2019-07-05","086510","619433","41261","2638225.859999997"
1355,"2019-07-06","013622","612030","9340","878852.6599999999"
1356,"2019-07-08","026998","612030","19149","1193694.1141200005"
1357,"2019-07-09","150112","619433","22473","1966030.0499999998"
1358,"2019-07-10","018535","619433","37958","2020852.8162599993"
1359,"2019-07-11","110673","691007","19703","976480.1191599994"
1360,"2019-07-12","101916","691007","16816","998816.4599999997"
1361,"2019-07-13","139803","691007","42391","2593823.830000003"
1362,"2019-07-15","194383","612030","22059","1327926.816449999"
1363,"2019-07-16","013622","612030","12115","754230.1299999998"
1364,"2019-07-17","013622","612030","27888","1732481.9299999992"
1365,"2019-07-18","018511","619433","33089","1801378.3400000015"
1366,"2019-07-19","223915","691007","19800","1028261.6999999993"
1367,"2019-07-20","013622","222073","22672","1126647.2599999984"
1368,"2019-07-22","276843","619433","43254","2141976.59"
1369,"2019-07-23","194383","612030","44444","2225876.2399999993"
1370,"2019-07-24","276881","619433","36503","1980442.4147700015"
